DATE,OPEN,CLOSE,HIGH,LOW,VOL,AMO,Capital,Fun
20230523,4.38,4.33,4.41,4.29,79828.000000,38801368.000000,16922096.000000,0.000000
20230524,4.32,4.32,4.39,4.31,44340.398438,21482608.000000,16922096.000000,0.000000
20230525,4.29,4.32,4.36,4.25,58280.179688,27970878.000000,16922096.000000,0.000000
20230526,4.33,4.4,4.43,4.24,66283.906250,32135654.000000,16922096.000000,0.000000
20230529,4.4,4.38,4.42,4.33,77159.398438,37557108.000000,16922096.000000,0.000000
20230530,4.35,4.37,4.45,4.32,69301.781250,33836912.000000,16922096.000000,0.000000
20230531,4.39,4.32,4.39,4.3,52142.871094,25194132.000000,16922096.000000,1.000000
20230601,4.33,4.29,4.36,4.28,79983.796875,38509792.000000,16922096.000000,1.000000
20230602,4.32,4.36,4.39,4.3,49849.000000,24209844.000000,16922096.000000,0.000000
20230605,4.39,4.4,4.44,4.33,72664.601562,35519256.000000,16922096.000000,0.000000
20230606,4.39,4.29,4.39,4.26,78306.601562,37730472.000000,16922096.000000,0.000000
20230607,4.27,4.21,4.29,4.2,58947.000000,27897700.000000,16922096.000000,0.000000
20230608,4.2,4.21,4.24,4.16,47980.058594,22562696.000000,16922096.000000,0.000000
20230609,4.24,4.34,4.35,4.2,84244.890625,40502636.000000,16922096.000000,0.000000
20230612,4.33,4.5,4.54,4.31,130684.343750,64900604.000000,16922096.000000,0.000000
20230613,4.55,4.6,4.61,4.54,99064.460938,50329732.000000,16922096.000000,0.000000
20230614,4.57,4.62,4.68,4.56,82597.671875,42207396.000000,16922096.000000,0.000000
20230615,4.63,4.61,4.67,4.56,74824.000000,38281792.000000,16922096.000000,0.000000
20230616,4.63,4.65,4.69,4.61,77528.460938,39987552.000000,16922096.000000,0.000000
20230619,4.68,4.65,4.7,4.61,93910.539062,48449972.000000,16922096.000000,0.000000
20230620,4.65,4.63,4.67,4.58,62888.781250,32227088.000000,16922096.000000,0.000000
20230621,4.63,4.59,4.68,4.57,56321.941406,28820510.000000,16922096.000000,0.000000
20230626,4.65,4.65,4.7,4.57,171028.265625,88073832.000000,16922096.000000,0.000000
20230627,4.57,4.66,4.69,4.5,106283.273438,51854340.000000,16922096.000000,0.000000
20230628,4.7,4.78,4.83,4.65,119826.796875,59945228.000000,16922096.000000,0.000000
20230629,4.79,4.78,4.83,4.72,71090.601562,35708456.000000,16922096.000000,0.000000
20230630,4.78,4.79,4.85,4.74,70832.578125,35746580.000000,16922096.000000,0.000000
20230703,4.79,4.86,4.94,4.79,122038.718750,62783692.000000,16922096.000000,0.000000
20230704,4.89,4.98,5,4.85,118197.890625,61418352.000000,16922096.000000,0.000000
20230705,5,4.97,5.04,4.91,99287.593750,52018636.000000,16922096.000000,0.000000
20230706,4.97,4.98,5.01,4.9,67102.000000,34910536.000000,16922096.000000,0.000000
20230707,4.98,4.98,5.04,4.95,75701.507812,39672376.000000,16922096.000000,0.000000
20230710,4.97,5,5.05,4.95,84165.640625,44207844.000000,16922096.000000,0.000000
20230711,4.97,5.11,5.12,4.95,104982.632812,55742356.000000,16922096.000000,0.000000
20230712,5.15,5.2,5.38,5.11,246183.437500,135646128.000000,16922096.000000,0.000000
20230713,5.21,5.15,5.23,5.07,152979.468750,82322496.000000,16922096.000000,0.000000
20230714,5.15,5.12,5.22,5.04,110892.203125,59785720.000000,16922096.000000,0.000000
